(-0.9356482514777502, 1.1255336713341997), (0.40017775558439617, -0.056621380096665064)
(0.845158682357452, 0.6759049808398254), (1.8141889399684654, 0.20831317342722322)
(2.1699434552696744, -1.397991135988848), (1.3076560534302253, 1.2208927061718544)
(1.0503690557849268, 0.07917481599064136), (1.004000045593882, -1.715433870893749)
(0.27001654263630925, 0.4807860003415625), (-0.7840992882973303, 0.09877018657660308)
(-1.1258505860167807, 2.1659879682904837), (-1.450205562505003, 0.3977414125444705)
(-0.25592622804077436, 1.3830572092291709), (2.410800095550183, 0.48325983998032296)
(2.794617194191785, -0.7092357784642678), (0.1957794387479055, 1.1874611506643973)
(0.2813277739052502, 1.725567076261635), (-0.1737268434065644, 2.3635593875396808)
(1.0590367270420593, 3.0650789413138693), (0.9554272126979466, -0.5015411836922086)
